Title,description,authors,publishedDate,categories,ratingsCount
"Another Day, Another Dungeon (Cups and Sorcery, Book 1)","Science fiction constitutes one of the largest and most widely read genres in literature, and this reference provides bibliographical data on some 20,000 science fiction, fantasy, and horror fiction books, as well as nonfiction monographs about the literature. A companion to Reginald's Science Fiction and Fantasy Literature, 1700-1974 (Gale, 1979), the present volume is alphabetically arranged by approximately 10,000 author names. The entry for each individual work includes title, publisher, date and place published, number of pages, hardbound or paperback format, and type of book (novel, anthology, etc.). Where appropriate, entries also provide translation notes, series information, pseudonyms, and remarks on special features (such as celebrity introductions). Includes indexes of titles, series, awards, and ""doubles"" (for locating volumes containing two novels). Annotation copyright by Book News, Inc., Portland, OR.","['R. Reginald', 'Mary Wickizer Burgess', 'Daryl Furumi Mallett']",1992,['Authors'],
Hell at Tassafaronga,,['Herbert C. Brown'],2001,['History'],
"Lure, The",,['Yuan Gao'],1991,['Management'],
Ten Days That Shook the World,"John Reed, an American journalist and revolutionary writer and a close friend of Lenin and was an eyewitness to the 1917 revolution in Russia. Ten Days That Shook the World is Reed's extraordinary record of that event. Writing in the first flush of revolutionary enthusiasm, he gives a gripping account of the events in Petrograd in November 1917, when Lenin and the Bolsheviks finally seized power. Containing verbatim reports both of speeches by leaders and of the chance comments of bystanders, and set against an idealized backdrop of soldiers, sailors, peasants, and the proletariat uniting to throw off oppression, Reed's account is the product of passionate involvement and remains an unsurpassed classic of reporting. ‘Ten Days That Shook the World’ is a must read for those interested in the socialistic movement and how it shaped Russian history.","['John Reed', 'General Press']",2020-10-08,['History'],17.0
Traitor's Kiss,"In a historically inspired fantasy realm, the apprentice to a matchmaker becomes a spy for the army to uncover a treasonous plot and finds herself entangled in a romance with a soldier. ""One of the most hotly anticipated young adult fantasy reads of 2017.” —Bustle ""An action-packed, expertly plotted story, drenched in double crosses and intrigue, with an irresistible heroine and a sweet and sexy romance.” —Publishers Weekly, starred review An obstinate girl who will not be married. A soldier desperate to prove himself. A kingdom on the brink of war. What makes her unfit to be a lady, makes her a brilliant spy—but can she spot another? With a sharp tongue and an unruly temper, Sage Fowler is not what they’d call a lady—which is perfectly fine with her. Deemed unfit for marriage, Sage is apprenticed to a matchmaker and tasked with wrangling other young ladies to be married off for political alliances. She spies on the girls—and on the soldiers escorting them. As the girls' military escort senses a political uprising, Sage is recruited by a handsome soldier to infiltrate the enemy ranks. The more she discovers as a spy, the less certain she becomes about whom to trust—and Sage becomes caught in a dangerous balancing act that will determine the fate of her kingdom. With secret identities and a tempestuous romance, Erin Beaty's YA novel, The Traitor’s Kiss, is a classic story with an espionage twist. An Imprint Book Praise for The Traitor's Kiss: ""Marital and martial matters collide when brides and spies become ensnared in a treasonous plot. . . . Sage is a clever, contrary female protagonist who remains realistic and likable, while her fellow protagonist Ash is enigmatic enough to require a second read. . . . Both epic and intimate, a semi–old-fashioned alternative to the wave of inexplicably lethal superheroines and their smoldering love triangles."" —Kirkus Reviews ""This is an action-packed, expertly plotted story, drenched in double crosses and intrigue, with an irresistible heroine and a sweet and sexy romance. A late-breaking twist gives way to a final act that will leave readers eager for subsequent books in this planned trilogy."" —Publishers Weekly , starred review ""Complex characterization, deftly layered adventure story, and [a] balanced blend of political maneuvering, romantic interludes, and action scenes."" —Kirkus Reviews ""Beaty balances a taut web of deceit . . . readers will be carried away by the mystery."" —The Bulletin of the Center for Children’s Books (BCCB) ""A debut novel that blends fantasy, romance, and battlefield action. . . . A slow burn YA fantasy with clever genre mixing."" —School Library Journal",['Erin Beaty'],2018-05-08,['Young Adult Fiction'],4.0
The Nursing Mother's Companion,"Breastfeeding is natural, but it is not entirely instinctive for either mothers or babies. The Nursing Mother’s Companion has been among the best-selling books on breastfeeding for over 30 years, with over 1 million copies sold. It is respected and recommended by professionals, including The International Lactation Consultant Association, T. Berry Brazelton and The American Academy of Pediatrics, and is well loved by new parents for its encouraging and accessible style. Kathleen Huggins equips breastfeeding mothers with all the information they need to overcome potential difficulties and nurse their babies successfully from the first week through the toddler years, or somewhere in between. This fully updated and revised edition provides information on topics such as: • Benefits of breastfeeding • How to cope with breastfeeding obstacles and challenges • Incorporating a nursing routine into working life • Treating postpartum headaches and nausea • Nutritional supplements to alleviate postpartum depression • Sharing a baby with baby (co-sleeping) and the risk of SIDS • Introducing solid foods • Expressing, storing, and feeding breast milk • Reviews of breast pumps Readers will also find Huggins’s indispensable problem-solving “survival guides,” set off by colored bands on the pages for quick reference, as well as appendices on determining baby’s milk needs in the first six weeks and the safety of various drugs during breast-feeding. In addition, this edition opens with a new Foreword by Jessica Martin-Weber, creator of the very popular website The Leaky Boob and a new Preface by Kelly Bonata, creator of the go-to site KellyMom. These two much-loved authorities speak to the importance of owning an authoritative breastfeeding book that cuts through the jumble of opinions, information, and misinformation on the Web. Now more than ever, The Nursing Mother’s Companion is the go-to guide every new mother should have at hand.",['Kathleen Huggins'],2015-04-14,['Health & Fitness'],
The Encyclopedia of Counseling: Complete Set of Book and Tapes,,['Howard Rosenthal'],2002,['Psychology'],
The Case Of The Long-Legged Models,,['Erle Stanley Gardner'],1975,,3.0
Dictionary of Economics (Oxford Paperback Reference),"This authoritative and comprehensive dictionary contains clear, concise definitions of approximately 3,500 key economic terms. Covering all aspects of economics including economic theory and policy, applied microeconomics and macroeconomics, labour economics, public economics and public finance, monetary economics, and environmental economics, this is the essential reference work in this area. The new edition of this dictionary has been updated to include entries on China, India, and South America, to reflect the increase in prominence of these regions in the global economy. There is strong coverage of international trade and many entries on economic organizations and institutions from around the world. Fully revised to keep up-to-date with this fast-moving field, this new edition expands the coverage to include entries such as ""austerity measures,"" ""General Anti Abuse Rule,"" ""propensity score matching,"" and ""shadow bank."" Entries are supplemented by entry-level web links, which are listed and regularly updated on a companion website, giving the reader the opportunity to explore further the areas covered in the dictionary. Useful appendices include a list of institutional acronyms and their affiliated websites, a list of Nobel prize-winners in economics, the Greek alphabet, and a list of relevant websites. As ideal for browsing as it is useful for quick reference, this dictionary remains an essential guide for students and teachers of economics, business, and finance, as well as for professional economists and anyone who has to deal with economic data.","['Nigar Hashimzade', 'Gareth Myles', 'John Black']",2017-01-12,['Business & Economics'],
Lifting the White Veil: An Exploration of White American Culture in a Multiracial Context,"What does it mean to be white in America, and why is it important to know? Drawing on both scholarly and personal sources, the author discusses the history, characteristics, and psychology of white American culture. He explains how white Americans exist in a multicultural context, and offers suggestions how they can work for a society based on multiracial justice and equality. Written in a clear, simple, engaging and informative style for the educated reader.",['Jeff Hitchcock'],2002,['Social Science'],
Flip-Flopped: A Novel,"Two best friends ponder over and partake in summer's seemingly endless possibilities. There's fun to be had at the sunny shore, fireworks to watch, and amusement parks to visit. This Step 1 story has big type and easy words, rhyme and rhythm, and picture clues.",['Dana M. Rau'],2011-05-24,['Juvenile Fiction'],
An Introduction to Second Language Acquisition Research (Applied Linguistics and Language Study),"Understanding how people learn and fail to learn second and foreign languages is increasingly recognised as a critical social and psycholinguistic issue. Second languages are vitally important to diverse groups of people, ranging from refugees to college students facing foreign language requirements. This book provides a synthesis of empirical findings on second and foreign language learning by children and adults, emphasising the design and execution of appropriate research.","['Diane Larsen-Freeman', 'Michael H. Long']",2016-04-27,,
An Enemy of the People,"THE STORY: A small Norwegian town has just begun to win fame and wealth through its medicinal spring waters. Dr. Stockmann, resident physician in charge, discovers that the waters are poisoned. On receiving proof of this, he immediately reports to","['Arthur Miller', 'Henrik Ibsen']",1979,['Performing Arts'],1.0
Blood Test (Signet),"Psychologist Alex Delaware and his friend, homicide detective Milo Sturgis, investigate the disappearance of a gravely ill child and the murder of his parents, a search that leads to a reclusive religious cult and the discovery of hidden family secrets",['Jonathan Kellerman'],1986,['Fiction'],17.0
"Love, Groucho: Letters from Groucho Marx to His Daughter Miriam",Nearly 200 letters written by the legendary Marx to his daughter Miriam provide a rare glimpse of the complex man behind the mustache,"['Groucho Marx', 'Miriam Marx Allen']",2002,['Biography & Autobiography'],
"The Last Good Season: Brooklyn, the Dodgers, and Their Final Pennant Race Together","Traces the 1956 pennant win of the Brooklyn Dodgers, citing the regional and personal factors that contributed to their departure to Los Angeles, from the rapid urban changes that were taking place in Brooklyn, to owner Walter O'Malley's search for younger players, to power struggles with Robert Moses. Reprint.",['Michael Shapiro'],2004,['Sports & Recreation'],1.0
The collected poems of Wallace Stevens,"An essential book for all readers of poetry, and the definitive collection from the man Harold Bloom has called “the best and most representative American poet."" Originally published in 1954 to honor Stevens’s seventy-fifth birthday, the book was rushed into print for the occasion and contained scores of errors. These have now been corrected in one place for the first time by Stevens scholars John N. Serio and Christopher Beyers, based on original editions and manuscripts. The Collected Poems is the one volume that Stevens intended to contain all the poems he wished to preserve, presented in the way he wanted. It is an enduring monument to his dazzling achievement.",['Wallace Stevens'],2011-05-04,['Poetry'],
Clausewitz on Strategy: Inspiration and Insight from a Master Strategist,,"['Tiha von Ghyczy', 'Bolko von Oetinger', 'Christopher Bassford']",2002-03-14,['Business & Economics'],
Maximum Performance: Mopar Super Stock Drag Racing 1962-1969,"With an unparalleled, intimate knowledge of these cars--from the assembly line to the track--the author gives a profile of Mopar cars like no other.",['Jim Schild'],2006-01,['Transportation'],
When the Blooms Appear: Short Stories,,,,,
The Birth of the Republic 1763-89,"In The Birth of the Republic, 1763–89, Edmund S. Morgan shows how the challenge of British taxation started Americans on a search for constitutional principles to protect their freedom, and eventually led to the Revolution. By demonstrating that the founding fathers’ political philosophy was not grounded in theory, but rather grew out of their own immediate needs, Morgan paints a vivid portrait of how the founders’ own experiences shaped their passionate convictions, and these in turn were incorporated into the Constitution and other governmental documents. The Birth of the Republic is the classic account of the beginnings of the American government, and in this fourth edition the original text is supplemented with a new foreword by Joseph J. Ellis and a historiographic essay by Rosemarie Zagarri.",['Edmund S. Morgan'],2012-12-15,['History'],1.0
Uncle John's Slightly Irregular Bathroom Reader (Uncle Johns Bathroom Readers),"The Uncle John's Bathroom Reader® series is the longest-running, most popular series of its kind, with more than 10 million copies in print. The Uncle John's brand is the most recognized and trusted source for bathroom reading material in the world with more than 22 editions. Uncle John's Slightly Irregular Bathroom Reader®: The Miniature Edition™ is the fourth installment of our best-selling mini Bathroom Readers, packed with fun facts, amusing stories, and fascinating trivia--all in a condensed portable form for a satisfying reading experience.","[""Bathroom Reader's Institute""]",2011-02-22,['Humor'],2.0
My Tummy Hurts: A Complete Guide to Understanding and Treating Your Child's Stomachaches,"A road map for understanding and managing children's stomach problems -- from symptoms to treatment, and everything in between From baby's colic to an older child's complaint of ""my tummy hurts,"" abdominal distress is painful for kids and worrisome to parents, ranking second only to upper respiratory tract infections as the most common reason for non-routine visits to the pediatrician. In many cases, the discomfort is easily remedied and even prevented -- but some kinds of pain indicate a more serious affliction. How can parents make the distinction? Drawing from more than two decades of experience as a pediatric gastroenterologist, Dr. Joseph Levy offers a prescriptive guide to children's digestive complaints. My Tummy Hurts equips parents with the information they need to help alleviate their children's pain and prevent many disorders from occurring. They'll discover how to ask the right questions, identify problems, recognize the symptoms requiring urgent medical attention, and much more, including: How the digestive system works and why it sometimes malfunctions The major causes of stomachaches Identifying disease triggers, including those related to stress and diet What to do if your child is lactose- or wheat-intolerant My Tummy Hurts, organized for easy reference, is an indispensable handbook for parents and caregivers.",['Joseph Levy'],2004-05-11,['Family & Relationships'],
200 Cigarettes -,,['Shana Larsen'],1996,['Motion picture plays'],
"The art of massage,: A practical manual for the nurse, the student and the practitioner",,['John Harvey Kellogg'],1942,['Massage'],
Tour of Duty LP: John Kerry and the Vietnam War,"These are the memoirs of a Wisconsin farm boy that grew up during the Great Depression accompanied by a great drought where many of the lakes dried up and much of the Midwests farmland simply blew away. The Depression ended abruptly the year I graduated from high school when WW II was declared and I was drafted into military service where I spent 3-1/2 years. I was critically wounded and spent the first 30 hours in a morgue followed by almost 1-1/2 years in military hospitals before I was discharged as a permanently disabled veteran. Because of my disabilities, I could never be a farmer and had to go somewhere else and develop new skills so I would be able to support my family. Jobs were hard to get because at the end of the war in Europe, 12 million healthy veterans had just been discharged and the economy was in limbo while industry was converting from wartime to peacetime economy. The story deals with how I started out as an apprentice electronic technician, became an engineer through home study, worked and lived on all continents and finally became Chief of the Navigation Engineering Branch at the Federal Aviation Administration Headquarters in Washington DC. It is a story of how I dealt with serious wartime disabilities and managed to develop a productive career at the same time",['Sam Jones'],2011-12-05,['Biography & Autobiography'],
"Things We Do for Love, The (Brilliance Audio on Compact Disc)",,,2009,['American literature'],
Shobogenzo: v. 2: Zen Essays - The Eye and Treasury of the True Law,"The complete English translation of one of the great Zen classics and works of Japanese literature, by the founder of the Soto school—now in a single volume Treasury of the True Dharma Eye (Shobo Genzo, in Japanese) is a monumental work, considered to be one of the profoundest expressions of Zen wisdom ever put on paper, and also the most outstanding literary and philosophical work of Japan. It is a collection of essays by Eihei Dogen (1200–1253), founder of Zen’s Soto school. Kazuaki Tanahashi and a team of translators that represent a Who’s Who of American Zen have produced a translation of the great work that combines accuracy with a deep understanding of Dogen’s voice and literary gifts. This edition includes a wealth of materials to aid understanding, including maps, lineage charts, a bibliography, and an exhaustive glossary of names and terms—and, as a bonus, the most renowned of all Dogen’s essays, “Recommending Zazen to All People.”",['Kazuaki Tanahashi'],2013-05-14,['Religion'],
Straight A's in Maternal-Neonatal Nursing,This easy-to-read outline review follows the unique two-column Straight A's format that lets students choose how they study to improve test scores and final grades. The interior column outlines key facts for in-depth review; the exterior column lists only the most crucial points for quickest review. Other features include pretest questions at the beginning of each chapter; end-of-chapter NCLEX®-style questions; lists of top items to study before a test; Time-Out for Teaching patient-teaching points; Go with the Flow algorithms; and alerts highlighted in a second color. A bound-in CD-ROM contains hundreds of NCLEX®-style questions—including alternate-item format questions—with answers and rationales.,['Lippincott Williams & Wilkins'],2008,['Medical'],1.0
A Trip to the Beach,"This is the true story of a trip to the beach that never ends. It's about a husband and wife who escape civilization to build a small restaurant on an island paradise -- and discover that even paradise has its pitfalls. It's a story filled with calamities and comedy, culinary disasters and triumphs, and indelible portraits of people who live and work on a sliver of beauty set in the Caribbean Sea. It's about the maddening, exhausting, outlandish complications of trying to live the simple life -- and the joy that comes when you somehow pull it off. The story begins when Bob and Melinda Blanchard sell their successful Vermont food business and decide, perhaps impulsively, to get away from it all. Why not open a beach bar and grill on Anguilla, their favorite Caribbean island? One thing leads to another and the little grill turns into an enchanting restaurant that quickly draws four-star reviews and a celebrity-studded clientele eager for Melinda's delectable cooking. Amid the frenetic pace of the Christmas ""high season,"" the Blanchards and their kitchen staff -- Clinton and Ozzie, the dancing sous-chefs; Shabby, the master lobster-wrangler; Bug, the dish-washing comedian -- come together like a crack drill team. And even in the midst of hilarious pandemonium, there are moments of bliss. As the Blanchards learn to adapt to island time, they become ever more deeply attached to the quirky rhythms and customs of their new home. Until disaster strikes: Hurricane Luis, a category-4 storm with two-hundred-mile-an-hour gusts, devastates Anguilla. Bob and Melinda survey the wreckage of their beloved restaurant and wonder whether leaving Anguilla, with its innumerable challenges, would be any easier than walking out on each other. Affectionate, seductive, and very funny, A Trip to the Beach is a love letter to a place that becomes both home and escape.","['Melinda Blanchard', 'Robert Blanchard']",2001-11-20,['Biography & Autobiography'],5.0
Pthreads Programming: A POSIX Standard for Better Multiprocessing (O'Reilly Nutshell),"In this book, realistic examples show both the situations where threading is valuable and the ways to use threads to improve the modularity and efficiency of a program. The author takes the user behind the scenes to show them how threads work, where to expect problems, and what performance issues exist. Chapters on DCE, real-time, and multiprocessing are included.","['Bradford Nichols', 'Dick Buttlar', 'Jacqueline Farrell']",1996-09-01,['Computers'],
The Shining Falcon,,['Josepha Sherman'],1991-01-01,,
The Discovery Of Subatomic Particles (Scientific American Library Series),This is an account of the discovery of the constituents of the atom.,['Steven Weinberg'],1983,['Science'],
A Rake's Vow (Cynster Novels),"He vowed he'd never marry. To Vane Cynster, Bellamy Hall seems like the perfect place to temporarily hide from London's husband hunters. But when he encounters irresistible Patience Debbington, Vane realises he's met his match ... She vowed no man would catch her. Patience isn't about to succumb to Vane's sensuous propositions. Yes, his kisses leave her dizzy and his caresses made her melt; but Patience has promised herself she'll never become vulnerable to a broken heart. Is this one vow that was meant to be broken?",['Stephanie Laurens'],2009-10-13,['Fiction'],15.0
The Cloud of Unknowing,"THE CLOUD OF UNKNOWING and THE BOOK OF PRIVY COUNSELING are the first explorations in the English language of the soul’s quest for God. Written in Middle English by an unknown fourteenth-century mystic, THE CLOUD OF UNKNOWING expresses with beauty a message that has inspired such great religious thinkers as St. John of the Cross and Teilhard de Chardin, as well as countless others in search of God. Offering a practical guide to the life of contemplation, the author explains that ordinary thoughts and earthly concepts must be buried beneath a “cloud of forgetting,” while our love must rise toward a God hidden in the “cloud of unknowing.” THE BOOK OF PRIVY COUNSELING, also included in this volume, is a short and moving text on the way to enlightenment through a total loss of self and a consciousness only of the divine. William Johnston, an authority on fourteenth-century mysticism and spirituality, provides an accessible discussion of the works, detailing what is known about the history of the texts and their author. In a new foreword, Huston Smith draws on his extensive knowledge of the varieties of religious experience to illuminate the relevance of these works for contemporary readers.",['William Johnston'],2012-01-11,['Religion'],5.0
The Merchant's War,"In the sequel to The Clan Corporate, Miriam seeks refuge from the machinations of both the Clan and their opponents by escaping to yet another world, only to discover that there is a nasty war going on in the Gruinmarkt world of the Clan and that unexpected perils await her. Reprint.",['Charles Stross'],2008-09-30,['Fiction'],9.0
Flamenco Basics,,['Vicki Corona'],1989-06,['Flamenco'],
Inside Atl (Programming Languages/C),"Microsoft s Component Object Model is one of the most important concepts in software development today. Developer s Workshop to COM and ATL 3.0 provides an in-depth treatment of COM and shows how to adopt a component framework, namely ATL, to help lessen the burden of repetitive code. Every chapter contains integrated lab assignments that give you numerous opportunities to build COM clients and servers using raw C++ and IDL, as well as the Active Template Library. The book is divided into five sections, each focusing on a particular aspect of COM and ATL development. The book begins with a review of object-oriented and interface-based programming techniques, then moves into the core aspects of COM, including a full examination of language independence and location transparency. The author illustrates the numerous CASE tools used during ATL development and discusses apartments, COM exceptions, object identity, and component housing, in addition to various advanced concepts such as COM categories and tear-off interfaces. The fourth section examines a number of COM patterns such as enumerators, collections, scriptable objects, and callback interfaces. The book closes with an investigation of using ATL as a windowing framework and wraps up with the development of a full-blown animated ActiveX control using ATL. Learn how to build Visual Basic, Java, C++, and web-based COM clients; use common VBA programming structures such as conditions, loops, arrays, and collections; master ATL s integrated CASE tools; dive into the details of object identity and the ATL COM map; build COM object models and leverage the ATL object map; develop full ActiveX controls with ATL.""",['Andrew W. Troelsen'],2012-01-18,['Computers'],
Keeping Faith,"When the marriage of Mariah White and her cheating husband, Colin, turns ugly and disintegrates, their seven-year-old daughter, Faith, is there to witness it all. In the aftermath of a rapid divorce, Mariah falls into a deep depression—and suddenly Faith, a child with no religious background whatsoever, hears divine voices, starts reciting biblical passages, and develops stigmata. And when the miraculous healings begin, mother and daughter are thrust into the volatile center of controversy and into the heat of a custody battle—trapped in a mad media circus that threatens what little stability the family has left. In Keeping Faith, #1 New York Times bestselling author Jodi Picoult—one of the most powerful writers in contemporary fiction—brilliantly examines belief, miracles, and the complex core of family.",['Jodi Picoult'],2008-08-26,['Fiction'],6.0
"Hey, I'm the Customer: Front Line Tips for Providing Superior Customer Service","Offers step-by-step guidelines and tips for providing superior customer service, discussing customer satisfaction, how to identify customer needs, problem solving, and other topics",['Ron Willingham'],1992,['Business & Economics'],
The Jini(TM) Specification (The Jini(TM) Technology Series),"This book contains the formal specification for the Jini technology. It offers a review of distributed computing fundamentals, an overview of the Jini architecture, and an introduction to the key concepts that are the source of the technologys simplicity and power--remote objects, leasing, distributed events, and a two-phase commit protocol. The formal specification provides the definitive description of every element of the Jini architecture, including detailed information on such topics as: Jini Discovery and Join protocols Jini Entry usage and the AbstractEntry class Jini Distributed Leasing concepts Jini Distributed Event programming model Jini Transaction model and semantics Jini Lookup service and lookup attribute schema Jini device architecture As networks continue to pervade our personal and professional lives, there is an urgent call for the flexible and robust network infrastructure that Jini represents.",['Ken Arnold'],1999,['Electronic data processing'],
Unix Secure Shell (McGraw-Hill Tools Series),,['Anne Carasik'],1999,['Computer networks'],1.0
Visual Basic 6 Master Reference,"Visual Basic 6 Master Reference includes explanations for over 1000 keywords, statements, functions, concepts, objects, and controls, as well as associated events, methods, and properties - everything you need to create fully logo-compliant Windows 98 applications. Find the information you need in record time! This comprehensive reference is organized alphabetically with cross-references throughout. You can look up topics by: Concept - Look up ActiveX Controls and find out what they are and how to use them. Control - Look up Animation and discover its description along with its general and custom properties, methods, and events. Object - Look up App and quickly get all of its 29 properties and what they represent. Property - Look up ActiveControl and explore its syntax and how it is used in a form. Event - Look up AmbientChanged and learn which objects receive AmbientChanged events and how they obtain them. This unique Visual Basic encyclopedia provides code examples throughout, including many full programs that enable you to see specific Visual Basic items in action.",['Clayton Walnum'],1999-03-03,['Computers'],
"Last of the Plainsmen, The","The Last Of The Plainsmen by Zane Grey - Buffalo Jones goes on his final mission in this wonderful, rousing, classic western. Zane Grey is one of America's finest western novelists and his works have become much loved classics. A great addition to the collection.",['Zane Grey'],2016-02-21,,1.0
Hacker Attack,"The EC-Council | Press Ethical Hacking and Countermeasures Series is comprised of five books covering a broad base of topics in offensive network security, ethical hacking, and network defense and countermeasures. The content of this series is designed to immerse the reader into an interactive environment where they will be shown how to scan, test, hack and secure information systems. With the full series of books, the reader will gain in-depth knowledge and practical experience with essential security systems, and become prepared to succeed on the Certified Ethical Hacker, or C|EH, certification from EC-Council. This certification covers a plethora of offensive security topics ranging from how perimeter defenses work, to scanning and attacking simulated networks. A wide variety of tools, viruses, and malware is presented in this and the other four books, providing a complete understanding of the tactics and tools used by hackers. By gaining a thorough understanding of how hackers operate, an Ethical Hacker will be able to set up strong countermeasures and defensive systems to protect an organization's critical infrastructure and information. Important Notice: Media content referenced within the product description or the product text may not be available in the ebook version.",['EC-Council'],2009-09-22,['Computers'],
Toad on the Road (Step Into Reading: A Step 1 Book (Turtleback)),,,2006,['Authors'],
Essentials of Prayer,"The Essentials of Prayer is a message of meditation based on the Bible and written by Edward McKendree Bounds (August 15, 1835 – August 24, 1913) prominently known as E.M. Bounds, was an American author, attorney, and member of the Methodist Episcopal Church South clergy. He is known for writing 11 books, nine of which focused on the subject of prayer. Only two of Bounds' books were published before he died. After his death, Rev. Claudius (Claude) Lysias Chilton, Jr., grandson of William Parish Chilton and admirer of Bounds, worked on preserving and preparing Bounds' collection of manuscripts for publication. By 1921, Homer W. Hodge completed additional editorial work. Edward McKendree Bounds was born on August 15, 1835, in Shelbyville, Missouri. He is the son of Thomas Jefferson and Hester A. (née Purnell) Bounds. In the preface to E.M. Bounds on Prayer, published by Hendrickson Christian Classics Series over 90 years after Bounds' death, it is surmised that young Edward was named after the evangelist, William McKendree, who planted churches in western Missouri and served as the fourth bishop of the Methodist Episcopal Church. He was the fifth child, in a family of three sons and three daughters.",['Edward McKendree Bounds'],2020-03-09,['Bibles'],1.0
A Perfect Silence,"A Perfect Silence is a powerful tale of human suffering, courage, and ultimately survival. It renders with authenticity and poignancy a young womanÍs struggle to break out of the cycle of poverty that has entrapped her family for generations. From the surrealistic world of a mental institution, a young woman struggles to come to terms with her past after a failed suicide attempt. From her very birth into abject poverty, Blanca is lost in a nightmarish labyrinth of abuse and deprivation. In vivid and gripping detail, Blanca remembers her victimization at the hands of family and strangers, both in New York and in Puerto Rico. As her destructive odyssey progresses, she becomes a rag doll tossed about by her family and her foster parents, by her brutal husband and by the very institutions meant to help her. This story is a tribute to a womanÍs capacity to endure and survive. Psychologically accurate and stylistically elegant, the work is imbued with a strong sense of inherent human worth.",['Alba N. Ambert'],1995-06-30,['Fiction'],
Shakespeare After All,"A brilliant and companionable tour through all thirty-eight plays, Shakespeare After All is the perfect introduction to the bard by one of the country’s foremost authorities on his life and work. Drawing on her hugely popular lecture courses at Yale and Harvard over the past thirty years, Marjorie Garber offers passionate and revealing readings of the plays in chronological sequence, from The Two Gentlemen of Verona to The Two Noble Kinsmen. Supremely readable and engaging, and complete with a comprehensive introduction to Shakespeare’s life and times and an extensive bibliography, this magisterial work is an ever-replenishing fount of insight on the most celebrated writer of all time.",['Marjorie Garber'],2008-11-19,['Drama'],6.0
Metahistory: The historical imagination in nineteenth-century Europe,"In White's view, beyond the surface level of the historical text, there is a deep structural, or latent, content that is generally poetic and specifically linguistic in nature. This deeper content - the metahistorical element - indicates what an appropriate historical explanation should be.",['Hayden White'],1975-08,['History'],5.0
Archie's Way: A Memoir of Friendship and Craftsmanship,"Details the author's friendship with Archie Raasch, a skilled wood and metal worker, and the lessons he learned from him about craftsmanship, creativity, and self-discovery","['Richard Ezra Probert', 'Robert Ezra Probert']",1998,['Biography & Autobiography'],
New International Encyclopedia of Bible Characters,"The New International Encyclopedia of Bible Characters is a complete index of every person named in the Bible, from Aaron to Zurishadai. Discover the roles that men and women—from the obscure to the famous to the infamous—have played in the unfolding story of Scripture. Entries range from one-line biblical references for minor characters to full-length articles that address the theological significance of over forty major figures. With entries based on the New International Version?today's most read, most trusted Bible translation?this easy-to-use volume will help pastors, teachers, students, and church workers quickly and easily identify and understand the importance of every person in the Bible. The New International Encyclopedia of Bible Characters features contributions from top biblical scholars of the United States, the United Kingdom, and Australia. In addition to the alphabetic name-entries, twenty supporting articles shed light on topics of particular interest and relevance, such as: Kings of Judah and Israel Women in the Bible Children in the Bible The Apostles Pharisees The Elderly in the Bible Angels in the Bible Jewish Genealogies —ZONDERVAN'S UNDERSTAND THE BIBLE REFERENCE SERIES— This four-volume series supplies users of today's most popular modern Bible translation, and New International Version, with scholarly, economical, and uncompromisingly evangelical study tools. It includes: New International Bible Commentary New International Encyclopedia of Bible Words New International Encyclopedia of Bible Difficulties New International Encyclopedia of Bible Characters","['Zondervan,']",2015-09-22,['Religion'],5.0
Shadow Riders,"Dal and Mac Traven left Texas young and idealistic. They came back from opposite sides of a living hell, a war that had torn the nation in two. They wanted only to reclaim their old lives—but one man held their futures hostage. Colonel Henry T. Ashford had gathered an army of criminals and renegade soldiers, leading them on a path of destruction and kidnapping through Texas to the Gulf. Among Ashford’s captives were the Travens’ sister and Dal’s tough-minded fiancée, Kate. Now Mac and Dal must take up arms once again and ride together against Ashford’s army—ready to fight another war, if that’s what it takes to win the freedom of the women they love.","[""Louis L'Amour""]",2004-12-28,['Fiction'],4.0
Manual of mineralogy,"Features new chapters on crystal chemistry and mineral stability diagrams, more logical treatments of morphology and internal crystal structure along with extensively revised chapters on mineral chemistry and physical properties. Includes outstanding illustrations, hand specimen photographs and transmission electron microscope structure projects.","['Cornelis Klein', 'Cornelius S. Hurlbut', 'James Dwight Dana']",1993-06-02,['Science'],
SMALL HOUSE AT ALLINGTON,"‘The Small House at Allington’ is the fifth in Anthony Trollope’s ‘Chronicles of Barsetshire’ series of novels. The plot centres around the romantic fortunes of young sisters Lily and Bell Dale, who live with their widowed mother in the Small House at Allington thanks to the generosity of their uncle, Squire Dale. Packed with tangled romances and moral dilemmas, this is classic Trollope. In ‘The Small House at Allington’ we are also introduced to some of the most popular recurring Trollope characters, including Lady Glencora and Plantagenet Palliser. Anthony Trollope (1815 – 1882) was a Victorian writer and author of 47 novels. He also wrote an autobiography, short stories and plays, travel articles, reviews and lectures. A prolific writer, he made no secret of the fact that money was his motivation for writing – an admission which raised eyebrows among his literary contemporaries at the time. The amount of works Trollope authored are testament to his belief in hard work. His first successful novel was The Warden followed by its sequel, Barchester Towers. The Chronicles of Barsetshire are perhaps his most well-known series of novels, though many of his works have been adapted for TV and radio, starring many familiar faces such as Alan Rickman, David Tennant, Bill Nighy and Tom Hollander. Alongside his literary career, Trollope also worked for some time for the Post Office and is credited with the introduction of the iconic post box to Britain. A memorial to Anthony Trollope was unveiled in Poets’ Corner in Westminster Abbey in 1993.",['Anthony Trollope'],2021-07-28,['Fiction'],37.0
